"id","hadith_id","source","tradition","volume","chapter_no","hadith_no","chapter","category","chain_indx","text_ar","text_en","sanad","matn_en","grade_tradition","grade_source","grade_value","gradings_full","url","page_ref"
"rabi_0865","865","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","865","في اليد","في اليد","","وقوله: يد الله والنواصي بيده، يعنون بذلك: ملكه وقدرته، ولا يعنون بذلك ما عنت اليهود، لأن قول اليهود شرك على معناهم، وقول المسلمين صدق على معناهم مخالف لمعنى اليهود، إنما يعنون الملك والقدرة، وعنت اليهود التشبيه والتحديد، وهو كقول الله: {تبارك الذي بيده الملك} أي له لا لغيره، ولا يعني قابض عليه كما يجعل الرجل الشيء في يده. ومصداق ذلك قول العرب: نحن تحت يد فلان، وأمرنا بيد فلان، وأمرنا بيد الله، وحوائجنا بيد الله. وقال الله: { ... أو يعفو الذي بيده عقدة النكاح}، وإنما يريد بهذا كله في القرآن واللغة الملك والقدرة.","","","","Ibadi","","","","","V01P234"
"rabi_0866","866","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","24","866","في قوله تعالى: {لأخذنا منه باليمين}","في قوله تعالى: {لأخذنا منه باليمين}","","قال ابن عباس: {باليمين} أي بالقدرة. وقال الحكم بن عيينة: أي بالحق، {ثم لقطعنا منه الوتين} نياط القلب. وقال الضحاك: {باليمين} أي بالقدرة. وقال الكلبي مثله، وقال الحسن مثل ذلك.","","","","Ibadi","","","","","V01P234"
"rabi_0867","867","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","25","867","في اليد أيضا","في اليد أيضا","","قال جابر بن زيد: سئل ابن عباس رضي الله عنه عن قوله عز وجل: {وقالت اليهود يد الله مغلولة} فقال: قالت اليهود: رزقه محبوس. قال الحسن: قد حبس الله رزقه . قال الله: {بل يداه مبسوطتان} أي بل رزقه مبسوط على جميع خلقه، {ينفق كيف يشآء} يعني: يعطي أقواما ويمنع آخرين، وهو قوله: {يبسط الرزق لمن يشاء ويقدر}، كقوله لنبيه عليه السلام: {ولا تجعل يدك مغلولة الى عنقك ولا تبسطها كل البسط} فنهى عن التقتير والتبذير. وقال الضحاك: {بل يداه مبسوطتان} أي بل نعمتاه مبسوطتان {ينفق كيف يشآء}.","","","","Ibadi","","","","","V01P235"
"rabi_0868","868","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","26","868","في قوله: {الله نور السماوات والأرض}","في قوله: {الله نور السماوات والأرض}","","قال جابر بن زيد: سئل ابن عباس رضي الله عنه عن قول الله: {الله نور السماوات والأرض} قال ابن عباس والحسن وقتادة وعمرو بن محمد وأبو مسلم المكي ومجاهد: الله عدل السماوات والأرض، وهو هادي من في السماوات والأرض، كقوله: {مثل نوره ... } وليس له مثل، إنما يعني: مثل عدله. وأما قوله: { ... إلآ أن ياتيهم الله في ظلل من الغمام والملآئكة ... } فإن الكلبي روى عن أبي صالح قال: يأتيهم بأمره وقضائه فيفصل بينهم؛ وهو قول الحسن ومجاهد، وكذلك قوله: {وجآء ربك ... } يعني بأمره وقضائه. قال ابن عباس والحسن وأبو صالح وعمرو : ومعنى {جآء ربك}: أي وجاء أمر ربك، أي قضاؤه، وقال الله عز وجل: {ولقد جئناهم بكتاب ... } يعني جاءتهم الرسل، والدليل على ذلك قول الله عز وجل في الآية الأخرى: {هل ينظرون إلآ أن تاتيهم الملآئكة أو ياتي أمر ربك}. وسئل هشيم عن ذلك فقال: كانوا يقولون: {جآء امر ربك} أي قضاؤه. وقال تعالى: {أولم يروا انا ناتي الارض ننقصها من اطرافها}. وقال: {فأتى الله بنيانهم من القواعد}، وقال: {فأتاهم الله من حيث لم يحتسبوا}","","","","Ibadi","","","","","V01P236"
"rabi_0869","869","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","27","869","في قوله تعالى: {رب أرني أنظر اليك}","في قوله تعالى: {رب أرني أنظر اليك}","","قال جابر: سئل ابن عباس رضي الله عنه عن قول الله: {رب أرني أنظر اليك} فقال: ذلك على وجه الاعتذار لقومه ليريهم الله آية من آياته فيئسوا من رؤية الله.","","","","Ibadi","","","","","V01P236"
"rabi_0870","870","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","27","870","في قوله تعالى: {رب أرني أنظر اليك}","في قوله تعالى: {رب أرني أنظر اليك}","","عمير بن إسماعيل عن إبراهيم قال: حدثنا أبو صالح عن ابن عباس عن جويبر عن الضحاك في قوله تعالى {سبحانك تبت إليك} أي من مسألتي أني أنظر إليك {وأنا أول المومنين} المصدقين أنك لا يراك أحد، وقال مجاهد مثل ذلك، وقال الحسن: لن تراني ولا ينبغي لبشر أن يراني. لن يراه أحد في الدنيا ولا في الآخرة، وأما قوله: {فلما تجلى ربه للجبل} أي فلما تجلى ببعض آياته فلم يحتملها الجبل حتى صار دكا وخر موسى صعقا {فلمآ أفاق قال سبحانك تبت إليك}: من مسألتي، {وأنآ أول المومنين}. فلا ينبغي لبشر أن يراه . وقال مجاهد: فلما تجلى أمره للجبل فجعله دكا. وقال ابن عباس: أول المؤمنين بأنك لا ترى في الدنيا ولا في الآخرة.","","","","Ibadi","","","","","V01P237"
"rabi_0871","871","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","28","871","في قوله تعالى: {الرحمن على العرش استوى}","في قوله تعالى: {الرحمن على العرش استوى}","","قال جابر: سئل ابن عباس عن قوله تعالى {الرحمن على العرش استوى} فقال: ارتفع ذكره وثناؤه على خلقه، لا على ما قال المنددون إن له أشباها وأندادا تعالى الله عن ذلك.","","","","Ibadi","","","","","V01P237"
"rabi_0872","872","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","28","872","في قوله تعالى: {الرحمن على العرش استوى}","في قوله تعالى: {الرحمن على العرش استوى}","","قال: وحدثنا إسماعيل بن إبراهيم قال: حدثنا ليث بن أبي سليم عن مجاهد عن عبد الله بن عمر أنه سئل عن الصخرة التي كانت في بيت المقدس، فقال له: إن ناسا يقولون - فذكر قولهم {سبحانه وتعالى عما يقولون علوا كبيرا} فارتعد ابن عمر فرقا وشفقا حين وصفوه بالحدود والانتقال فقال ابن عمر: إن الله أعظم وأجل أن يوصف بصفات المخلوقين، هذا كلام اليهود أعداء الله، إنما يقول: {الرحمن على العرش استوى} أي: استوى أمره وقدرته فوق بريته. قال ليث: قال محمد بن الحنفية: قاتل الله أهل الشام ما أكفرهم، أو قال: ما أضلهم، يقولون: وضع الله قدمه على صخرة بيت المقدس، وقد وضع عبد من عباده - يعني إبراهيم عليه السلام - قدمه على حجر فجعله قبلة للناس تكذيبا لقولهم وردا لباطلهم. وقال الحسن: ارتفع ذكره وثناؤه وجده على خلقه، ولا يوصف الله تبارك وتعالى بزوال من مكان إلى مكان. قال: وسئل هشيم عن ذلك وقال: كان أصحابنا يقولون: قهر العرش. وقال الحسن في قوله: {ثم استوى إلى السمآء وهي دخان} أي استوى أمره وقدرته إلى السماء. وقوله: {ثم استوى على العرش} يعني استوى أمره وقدرته ولطفه فوق خلقه، ولا يوصف الله بصفات الخلق، ولا يقع عليه الوصف كما يقع على الخلق. وكان عبد الله بن مسعود وعائشة وابن عمر وابن الحنفية وعروة بن الزبير ينكرون ما يقول أهل الشام في الصخرة، وينهون عنه ويشددون فيه.","","","","Ibadi","","","","","V01P238"
"rabi_0873","873","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","29","873","ما قيل في الوجه","ما قيل في الوجه","","قال جابر: سئل ابن عباس عن قوله تعالى: {ويبقى وجه ربك ذو الجلال والاكرام} قال ابن عباس: يعني كل شيء يفني ويبقى الله الضحاك ومجاهد وأنس بن مالك.","","","","Ibadi","","","","","V01P239"
"rabi_0874","874","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","30","874","ما قيل في العين","ما قيل في العين","","وأما قوله تعالى: {ولتصنع على عيني} قال ابن عباس: ولتربى بأمري. قال الحسن: ولتربى بعلمي. وقال مجاهد والضحاك: بعلمي. وكذلك قوله: {تجري بأعيننا} يعني بعلمنا وحفظنا، فحفظ سفينة نوح عليه السلام من الطوفان وحفظ موسى عليه السلام من فرعون وقومه حتى بلغ الله به أن جعله رسولا مكلما، فتلك الخاصة التي اختص الله بها موسى عليه السلام. ولو كان قوله: {ولتصنع على عيني} على ما قال الجاهلون من أنه يراه بعينه لما كان لموسى عليه السلام فضيلة لأنه يرى فرعون كما يرى موسى، ولكنه أراد أن تصنع بحفظي وكلاءتي وحرزي حتى يبلغ عن الله ما أراد من رسالاته وأمره.","","","","Ibadi","","","","","V01P239"
