"id","hadith_id","source","tradition","volume","chapter_no","hadith_no","chapter","category","chain_indx","text_ar","text_en","sanad","matn_en","grade_tradition","grade_source","grade_value","gradings_full","url","page_ref"
"rabi_0093","93","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","15","93","في آداب الوضوء وفرضه","في آداب الوضوء وفرضه","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال للقيط بن صبرة: «إذا استنشقت فأبلغ إلا أن تكون صائما». وفي رواية أخرى عن ابن عباس بهذا السند أنه قال للقيط بن صبرة أو لغيره: «إذا توضأت فضع في أنفك ماء ثم استنثر».","","","","Ibadi","","","","","V01P029"
"rabi_0094","94","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","15","94","في آداب الوضوء وفرضه","في آداب الوضوء وفرضه","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم أنه تمضمض واستنشق من غرفة واحدة.","","","","Ibadi","","","","","V01P029"
"rabi_0095","95","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","15","95","في آداب الوضوء وفرضه","في آداب الوضوء وفرضه","","أبو عبيدة عن جابر بن زيد قال: بلغني أن رسول الله صلى الله عليه وسلم كان متخذا منديلا يمسح به بعد الوضوء، وكان بعض أزواجه يناوله إياه فيجفف به. الوضوء، وهو استحباب من أهل العلم، وترغيب منهم في نيل الثواب ما دام الماء على أعضائه.","","","","Ibadi","","","","","V01P030"
"rabi_0096","96","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","15","96","في آداب الوضوء وفرضه","في آداب الوضوء وفرضه","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم أنه مسح ببعض رأسه في الوضوء.","","","","Ibadi","","","","","V01P030"
"rabi_0097","97","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","15","97","في آداب الوضوء وفرضه","في آداب الوضوء وفرضه","","أبو عبيدة عن جابر بن زيد قال: سمعت أن رسول الله صلى الله عليه وسلم قال: «الأذنان من الرأس» قال: وبلغني عنه عليه السلام أنه غرف غرفة فمسح بها رأسه وأذنيه.","","","","Ibadi","","","","","V01P030"
"rabi_0098","98","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","16","98","في فضائل الوضوء","في فضائل الوضوء","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك عن النبيء صلى الله عليه وسلم قال: «ألا أخبركم بما يمحو الله به الخطايا ويرفع به الدرجات؟ إسباغ الوضوء على المكاره، وكثرة الخطى إلى المساجد، وانتظار الصلاة بعد الصلاة، فذلكم الرباط» قالها ثلاثا.","","","","Ibadi","","","","","V01P030"
"rabi_0099","99","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","16","99","في فضائل الوضوء","في فضائل الوضوء","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال النبيء صلى الله عليه وسلم: «إذا توضأ العبد المسلم، فغسل وجهه خرج من وجهه كل خطيئة نظر إليها بعينه، آخر قطر الماء؛ فإذا غسل يديه خرجت منهما كل خطيئة بطشها بهما، ثم كذلك حتى يخرج نقيا من الذنوب».","","","","Ibadi","","","","","V01P030"
"rabi_0100","100","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","16","100","في فضائل الوضوء","في فضائل الوضوء","","أبو عبيدة عن جابر بن زيد عن أبي هريرة أن النبيء صلى الله عليه وسلم خرج إلى المقبرة ... الحديث مذكور في باب الأمة.","","","","Ibadi","","","","","V01P031"
"rabi_0101","101","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","16","101","في فضائل الوضوء","في فضائل الوضوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن عثمان بن عفان أنه جلس على المقاعد فجاء المؤذن فأذن لصلاة العصر فدعا بماء فتوضأ ثم قال: والله لأحدثنكم حديثا لولا أنه في كتاب الله ما حدثتكموه، ثم قال: سمعت رسول الله صلى الله عليه وسلم يقول: «ما من امرئ يتوضأ فيحسن وضوءه لصلاته ثم يصليها إلا غفر الله له ما بينها وبين الصلاة الأخرى حتى يصليها». الصلاة طرفي النهار وزلفا من الليل إن الحسنات يذهبن السيئات ذلك ذكرى للذاكرين}.","","","","Ibadi","","","","","V01P031"
"rabi_0102","102","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","102","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «الوضوء من المذي، والغسل من المني».","","","","Ibadi","","","","","V01P031"
"rabi_0103","103","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","103","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن علي بن أبي طالب أنه أمر المقداد بن الأسود أن يسأل النبيء صلى الله عليه وسلم عن رجل دنا من أهله فخرج منه المذي ماذا عليه؟ قال علي: فأنا أستحيي من رسول الله صلى الله عليه وسلم أن أسأله من أجل ابنته عندي، فجاء المقداد إلى رسول الله صلى الله عليه وسلم فسأله عن ذلك فقال: «إذا وجد أحدكم ذلك فلينضح ذكره بالماء ثم يتوضأ وضوء الصلاة».","","","","Ibadi","","","","","V01P031"
"rabi_0104","104","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","104","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: قال بلال: حدثني أبو بكر الصديق رضي الله عنه أنه سمع رسول الله صلى الله عليه وسلم يقول: «لا يتوضأ من طعام أحل الله أكله».","","","","Ibadi","","","","","V01P032"
"rabi_0105","105","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","105","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «الغيبة تفطر الصائم وتنقض الوضوء».","","","","Ibadi","","","","","V01P032"
"rabi_0106","106","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","106","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «إذا شك أحدكم في صلاته فلا ينصرف حتى يسمع صوتا أو يشم ريحا».","","","","Ibadi","","","","","V01P032"
"rabi_0107","107","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","107","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم قال: «إذا مست المرأة فرجها فلتتوضأ».","","","","Ibadi","","","","","V01P032"
"rabi_0108","108","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","108","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن عروة بن الزبير يقول عن عائشة رضي الله عنها إنها قالت: يقبلني رسول الله صلى الله عليه وسلم ثم يصلي ولا يتوضأ.","","","","Ibadi","","","","","V01P032"
"rabi_0109","109","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","109","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد قال: قال رسول الله صلى الله عليه وسلم: «من قاء أو قلس فليتوضأ».","","","","Ibadi","","","","","V01P032"
"rabi_0110","110","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","110","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن عائشة رضي الله عنها قالت: فقدت رسول الله صلى الله عليه وسلم ذات ليلة فوجدته يصلي، فطلبته فوقعت يدي على أخمص رجليه وهما منصوبتان، وهو يقول: «أعوذ بعفوك من عقابك وبرضاك من سخطك». قال جابر: وهذا الحديث يدل على إزالة الوضوء من مس الرجل امرأته.","","","","Ibadi","","","","","V01P033"
"rabi_0111","111","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","111","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد قال: قالت عائشة رضي الله عنها: قدمنا لرسول الله صلى الله عليه وسلم حيسا ملتتا بسمن، فأكل منه ولم يتوضأ.","","","","Ibadi","","","","","V01P033"
"rabi_0112","112","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","112","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن ضمام بن السائب قال: بلغني عن ابن عباس يروي عن النبيء صلى الله عليه وسلم قال: «ليس على من مس عجم الذنب وضوء، ولا على من مس موضع الاستحداد وضوء».","","","","Ibadi","","","","","V01P033"
"rabi_0113","113","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","113","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «القيء والرعاف لا ينقضان الصلاة، فإذا انفلت المصلي بهما توضأ وبنى على صلاته».","","","","Ibadi","","","","","V01P033"
"rabi_0114","114","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","114","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس أن رسول الله صلى الله عليه وسلم أوتي بكتف مؤربة فأكل ثم صلى ولم يتوضأ.","","","","Ibadi","","","","","V01P033"
"rabi_0115","115","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","115","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم أنه قال: «إذا مس أحدكم ذكره فليتوضأ».","","","","Ibadi","","","","","V01P033"
"rabi_0116","116","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","17","116","ما يجب منه الوضوء","ما يجب منه الوضوء","","أبو عبيدة عن جابر بن زيد عن عروة بن الزبير قال: دخلت على مروان بن الحكم، قال: فتذاكرنا ما كان من نقض الوضوء، قال: قال مروان: من مس ذكره فليتوضأ، قال: قلت له: ما أعلم ذلك؟ فقال مروان: أخبرتني بسرة بنت صفوان أنها سمعت رسول الله صلى الله عليه وسلم يقول: «إذا مس أحدكم ذكره فليتوضأ».","","","","Ibadi","","","","","V01P034"
"rabi_0117","117","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","18","117","في النوم الذي ينقض الوضوء","في النوم الذي ينقض الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: سجد رسول الله صلى الله عليه وسلم حتى غط فنفخ، فقام فصلى، فقلت: يا رسول الله، قد نمت! فقال صلى الله عليه وسلم: «إنما الوضوء على من نام مضطجعا».","","","","Ibadi","","","","","V01P034"
"rabi_0118","118","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","18","118","في النوم الذي ينقض الوضوء","في النوم الذي ينقض الوضوء","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «العينان وكاء الدبر».","","","","Ibadi","","","","","V01P034"
"rabi_0119","119","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","18","119","في النوم الذي ينقض الوضوء","في النوم الذي ينقض الوضوء","","أبو عبيدة عن جابر بن زيد قال: كان أصحاب رسول الله صلى الله عليه وسلم ينامون جلوسا حتى تخفق رؤوسهم ثم يصلون ولا يتوضؤون، والنبيء صلى الله عليه وسلم يشاهدهم على تلك الحالة ولا يأمرهم بإعادة الوضوء.","","","","Ibadi","","","","","V01P034"
"rabi_0120","120","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","18","120","في النوم الذي ينقض الوضوء","في النوم الذي ينقض الوضوء","","أبو عبيدة عن جابر بن زيد قال: وقد بلغني عن عمر بن الخطاب رضي الله عنه أنه ينام قاعدا ثم يصلي ولا يتوضأ.","","","","Ibadi","","","","","V01P034"
"rabi_0121","121","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","121","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: ما رأيت رسول الله صلى الله عليه وسلم مسح على خفه قط. __________ * *","","","","Ibadi","","","","","V01P034"
"rabi_0122","122","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","122","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد عن عائشة رضي الله عنها قالت: ما رأيت رسول الله صلى الله عليه وسلم مسح على خفه قط، وإني وددت أن يقطع الرجل رجليه من الكعبين أو يقطع الخفين من أن يمسح عليهما.","","","","Ibadi","","","","","V01P035"
"rabi_0123","123","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","123","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد قال: أدركت جماعة من أصحاب رسول الله صلى الله عليه وسلم فسألتهم: هل يمسح رسول الله صلى الله عليه وسلم على خفيه؟ قالوا : لا. قال جابر: كيف يمسح الرجل على خفيه والله تعالى يخاطبنا في كتابه بنفس الوضوء؟! والله أعلم بما يرويه مخالفونا في أحاديثهم.","","","","Ibadi","","","","","V01P035"
"rabi_0124","124","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","124","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد قال: بلغني عن علي بن أبي طالب أنه انكسر إحدى زنديه فسأل النبيء صلى الله عليه وسلم أن يمسح على الجبائر، قال له: «نعم».","","","","Ibadi","","","","","V01P035"
"rabi_0125","125","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","125","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد عن عائشة رضي الله عنها قالت: لأن أحمل السكين على قدمي أحب إلي من أن أمسح على الخفين.","","","","Ibadi","","","","","V01P035"
"rabi_0126","126","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","126","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد: بلغني أن رسول الله صلى الله عليه وسلم كان متخذا منديلا يمسح به بعد الوضوء، وكان بعض نسائه يناوله إياه، ويجفف به. والحديث مذكور في آداب الوضوء.","","","","Ibadi","","","","","V01P035"
"rabi_0127","127","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","127","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم أنه مسح ببعض رأسه في الوضوء.","","","","Ibadi","","","","","V01P035"
"rabi_0128","128","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","19","128","في المسح على الخفين","في المسح على الخفين","","أبو عبيدة عن جابر بن زيد قال: سمعت رسول الله صلى الله عليه وسلم قال: «الأذنان من الرأس» قال: وبلغني عنه عليه السلام أنه غرف غرفة فمسح بها رأسه وأذنيه.","","","","Ibadi","","","","","V01P036"
"rabi_0129","129","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","20","129","جامع الوضوء","جامع الوضوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن أبي بن كعب قال: قال رسول الله صلى الله عليه وسلم: «إن لبدء الوضوء شيطانا يقال له الولهان، فاحذروه».","","","","Ibadi","","","","","V01P036"
"rabi_0130","130","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","20","130","جامع الوضوء","جامع الوضوء","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «يعقد الشيطان على قافية أحدكم إذا هو نام ثلاث عقدات يضرب مكان كل عقدة: عليك ليلا طويلا فارقد؛ فإذا استيقظ وذكر الله انحلت عقدة، فإذا توضأ انحلت عقدة، فإذا صلى انحلت عقدة؛ فيصبح نشيطا طيب النفس، وإلا أصبح خبيث النفس كسلان».","","","","Ibadi","","","","","V01P036"
"rabi_0131","131","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","20","131","جامع الوضوء","جامع الوضوء","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك قال: حان وقت الصلاة فالتمس الناس وضوءا فلم يجدوه، فأوتي رسول الله بوضوء فوضع يده في الإناء، فأمر الناس أن يتوضؤوا. قال أنس: فرأيت الماء ينبع من تحت أصابع النبيء صلى الله عليه وسلم، فتوضؤوا إلى آخرهم. الواو وهو الفعل.","","","","Ibadi","","","","","V01P036"
"rabi_0132","132","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","132","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «الوضوء من المذي والغسل من المني».","","","","Ibadi","","","","","V01P037"
"rabi_0133","133","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","133","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","أبو عبيدة عن جابر بن زيد قال: سألت عائشة: هل كان يغتسل رسول الله صلى الله عليه وسلم من جماع ولم ينزل؟ قالت: كان رسول الله صلى الله عليه وسلم يصنع بنا ذلك ويغتسل ويأمرنا بالغسل، ويقول: «الغسل واجب إذا التقى الختانان».","","","","Ibadi","","","","","V01P037"
"rabi_0134","134","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","134","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","قال جابر: قالت عائشة رضي الله عنها: يقول النبيء صلى الله عليه وسلم: «إذا قعد الرجل من المرأة بين شعبها وجب الغسل».","","","","Ibadi","","","","","V01P037"
"rabi_0135","135","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","135","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","أبو عبيدة عن جابر بن زيد قال: بلغني عن أبي بن كعب قال: قال رسول الله صلى الله عليه وسلم: «الماء من الماء» يعني لا يكون الغسل على الرجل حتى ينزل، ولو التقى الختانان. قالت عائشة وأم سلمة زوجا النبيء صلى الله عليه وسلم: كان رسول الله صلى الله عليه وسلم يفعل ذلك ويغتسل ويأمر نساءه بالغسل، ويقول: «إذا التقى الختانان فالغسل واجب أنزل الرجل أو لم ينزل». والله أعلم بما يروى عن أبي بن كعب، وهو من علماء الصحابة وفضلائها.","","","","Ibadi","","","","","V01P037"
"rabi_0136","136","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","136","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: جاءت امرأة إلى رسول الله صلى الله عليه وسلم فقالت: برح الخفاء يارسول الله، المرأة ترى في النوم ما يرى الرجل؟ فقال رسول الله صلى الله عليه وسلم: «عليها الغسل إذا أنزلت».","","","","Ibadi","","","","","V01P037"
"rabi_0137","137","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","21","137","فيما يكون منه غسل الجنابة","فيما يكون منه غسل الجنابة","","عن جابر بن زيد عن زيد بن ثابت قال: بلغني أن أم سليم امرأة أبي طلحة الأنصاري جاءت إلى رسول الله صلى الله عليه وسلم فقالت: يا رسول الله، إن الله لا يستحيي من الحق، هل على المرأة من غسل إذا هي احتلمت؟ قال: «نعم، إذا رأت الماء». قال جابر: وقد جاء في رواية أخرى عن كثير من الصحابة إزالة الغسل عنها إلا الوضوء.","","","","Ibadi","","","","","V01P038"
"rabi_0138","138","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","138","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد عن عائشة زوج النبيء صلى الله عليه وسلم قالت: كان رسول الله صلى الله عليه وسلم إذا أراد الغسل من الجنابة بدأ فغسل يديه ثم يتوضأ كما يتوضأ للصلاة، ثم يدخل أصابعه في الماء ويخلل بها أصول شعر رأسه، ثم يصب على رأسه ثلاث مرات بيده، ثم يفيض الماء على جسده كله، وهذا بعد الاستنجاء .","","","","Ibadi","","","","","V01P038"
"rabi_0139","139","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","139","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «تحت كل شعرة جنابة، فبلوا الشعر وأنقوا البشرة».","","","","Ibadi","","","","","V01P038"
"rabi_0140","140","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","140","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم قال: «أمرني حبيبي جبريل عليه السلام أن أغسل فنيكتي وعنفقتي وعنقفتي عند الجنابة». وسرته وكل ما بطن من جسده. __________ * * * المسربة التي في الرقبة من خلف قفا الرأس، والعنقفة هي: الشعيرات المنحازة من اللحية تحت الشفة السفلى، والرفغان: ما بين الذكر والفخذين، والمأبضان: ما تحت الركبتين، والمسربة هي: التي فصلت الصدر إلى السرة.","","","","Ibadi","","","","","V01P039"
"rabi_0141","141","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","141","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد قال: بلغني عن أسامة بن زيد قال: جاءت أم سلمة إلى النبيء صلى الله عليه وسلم تستفتيه لامرأة جاءتها، فقالت: امرأة تشد شعر رأسها، هل تنقضه لغسل الجنابة؟ قال: «يكفيها أن تحثي عليه ثلاث حفنات من ماء، واغمزي قرونك عند كل حثية، ثم تفيضين عليك من الماء وتطهرين».","","","","Ibadi","","","","","V01P039"
"rabi_0142","142","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","142","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد عن عائشة أنها قالت: كنت أغتسل أنا ورسول الله صلى الله عليه وسلم من إناء واحد.","","","","Ibadi","","","","","V01P039"
"rabi_0143","143","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","143","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد عن عائشة أنها قالت: كان النبيء صلى الله عليه وسلم يغسل من إناء وهو الفرق من الجنابة.","","","","Ibadi","","","","","V01P039"
"rabi_0144","144","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","144","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: نهى رسول الله صلى الله عليه وسلم الجنب أن يغتسل في الماء الدائم، ونهى عن الوضوء بفضل المرأة، وكذلك في الرجل.","","","","Ibadi","","","","","V01P039"
"rabi_0145","145","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","22","145","في كيفية الغسل من الجنابة","في كيفية الغسل من الجنابة","","أبو عبيدة عن جابر بن زيد قال: بلغني عن عمر بن الخطاب رضي الله عنه قال: يا رسول الله، تصيبني الجنابة من الليل ماذا أصنع؟ فقال رسول الله صلى الله عليه وسلم: «توضأ واغسل ذكرك ثم نم».","","","","Ibadi","","","","","V01P040"
"rabi_0146","146","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","146","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك قال: كان رسول الله صلى الله عليه وسلم قد أباح للعرنيين قوم من العرب أن يشربوا من أبوال الإبل والبهائم وألبانها مع الضرورة .","","","","Ibadi","","","","","V01P040"
"rabi_0147","147","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","147","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد قال: قالت أسماء بنت أبي بكر الصديق رضي الله عنه جاءت امرأة إلى رسول الله صلى الله عليه وسلم فسألته عن امرأة وقع في ثوبها دم من دم الحيضة كيف تصنع؟ قال لها رسول الله صلى الله عليه وسلم: «إذا أصاب ثوب إحداكن دم من دم الحيضة فلتعركه، ثم لتنضحه بماء، ثم تصلي».","","","","Ibadi","","","","","V01P040"
"rabi_0148","148","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","148","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «المني والوذي والودي ودم الحيضة ودم النفاس نجس لا يصلى بثوب وقع فيه شيء من ذلك حتى يغسل ويزول أثره».","","","","Ibadi","","","","","V01P040"
"rabi_0149","149","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","149","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم قال: «دم الاستحاضة نجس، لأنه دم عرق، ينقض الوضوء».","","","","Ibadi","","","","","V01P040"
"rabi_0150","150","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","150","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد أن امرأة سألت أم سلمة زوج النبيء صلى الله عليه وسلم فقالت: إني امرأة أطيل ذيلي وأمشي في المكان القذر، فقال رسول الله صلى الله عليه وسلم: «يطهره ما بعده».","","","","Ibadi","","","","","V01P040"
"rabi_0151","151","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","151","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن عائشة أم المؤمنين أنها قالت: كنت أغسل ثوب رسول الله صلى الله عليه وسلم من المني، ثم يخرج إلى الصلاة والماء يقطر منه.","","","","Ibadi","","","","","V01P041"
"rabi_0152","152","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","152","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال إن أم قيس بنت محصن أتت بابن لها صغير لم يأكل الطعام إلى رسول الله صلى الله عليه وسلم، فأجلسه رسول الله صلى الله عليه وسلم في حجره، فبال على ثوبه، فدعا بماء فنضحه نضحا ولم يغسله.","","","","Ibadi","","","","","V01P041"
"rabi_0153","153","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","153","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد قال بلغني عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «إذا ولغ الكلب في إناء أحدكم فليهرقه وليغسله سبع مرات أولاهن وأخراهن بالتراب».","","","","Ibadi","","","","","V01P041"
"rabi_0154","154","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","154","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد قال سمعت رسول الله قال: «إذا ولغ الكلب في إناء أحدكم فليهرقه وليغسله سبع مرات». قال جابر: وفي الثلاث كفاية إن شاء الله.","","","","Ibadi","","","","","V01P041"
"rabi_0155","155","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","23","155","جامع النجاسات","جامع النجاسات","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «إذا ولغ الكلب في إناء أحدكم فليغسله سبع مرات».","","","","Ibadi","","","","","V01P041"
